year,day,hour,minute,bx,by,bz,row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20,row21,row22,row23,row24,row25,row26,row27,row28,row29,row30,row31,row32,row33,row34,row35,row36,row37,row38,row39,row40,row41,row42,row43,row44,row45,row46,row47,row48,row49,row50
2018,1,0,120,5.484649683333333,4.108979266666665,-5.002601966666665,,,,,,,,162.503,264.08922727272727,201.9542978723404,338.9851166666668,373.7398666666666,450.74771666666663,525.5982166666666,655.1067333333333,811.1320666666667,850.5841166666672,857.0433500000001,668.249966666667,544.1787500000002,444.1185166666668,426.74055000000004,416.17871666666656,379.39298333333346,409.8833833333334,339.4942333333333,410.6964666666666,402.15759999999983,373.90736538461545,,,,,,,,,,,,,,,,,,,,,
2018,1,1,120,-0.5938708366666668,9.439682166666667,-2.8625008333333333,,,,,,,177.53116666666665,153.82721276595743,265.78509999999994,212.66181666666668,372.00741666666664,461.83844999999997,609.1696166666663,782.3585833333334,899.7647333333331,903.6766999999999,723.6124833333331,551.34965,471.9555666666665,432.1948000000001,395.36101666666667,408.4050666666664,384.25064999999995,350.8137833333332,406.20125,352.03254999999996,412.7128947368421,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,120,0.4713975166666663,7.649085616666667,-2.4714937049999994,,,,,184.1,152.252,204.1815,163.43653333333336,270.14485,211.32326666666657,359.7548833333333,436.5895833333333,580.9659666666665,777.9677500000003,975.6955833333335,1112.705833333334,960.9115999999999,817.0143333333333,588.3550833333333,482.9818166666666,410.8333333333333,412.9423000000002,399.6068833333333,351.03750000000014,403.13550000000004,352.3237833333332,418.29755000000006,408.7479166666665,378.3629166666667,,,,,,,,,,,,,,,,,,,,,
2018,1,3,120,-0.3857615333333334,1.3964207800000001,2.069486150000001,,,,,,,,,273.2389599999999,213.15775999999997,342.09190909090904,372.0402711864407,443.27400000000006,505.68334999999996,612.5919500000001,717.8822000000001,748.4402999999998,765.2469166666667,672.9501166666666,603.7346833333336,529.0921833333334,491.4395166666666,461.45998333333335,413.12953333333337,429.63424999999995,353.0364333333334,409.08939999999996,394.0950454545454,369.1571136363636,379.85164000000003,385.9153157894736,361.64300000000003,,,,,,,,,,,,,,,,,,
2018,1,4,120,1.447103666666666,0.4477173983333337,-1.3877428033333339,,,,,,,,,,,332.7222083333333,340.1924062500001,380.04085365853655,377.12178333333355,418.8955333333333,447.22045000000014,521.3451500000001,543.3160000000001,591.1732499999999,602.5572833333334,601.0328000000002,581.5729166666667,544.571,490.1490166666665,477.0577166666668,395.6240666666666,430.74206666666663,404.41675000000015,365.6131333333334,378.8864615384615,386.0935476190476,364.3274374999999,410.34833333333336,,,,,,,,,,,,,,,,,
2018,1,5,120,-3.771170666666666,1.807668486666667,0.29459620833333316,,,,,,,,,,233.199,336.844953488372,345.74371929824554,387.8436500000002,393.73026666666675,444.6617,481.10683333333344,546.8624166666668,560.5133500000001,590.4053333333335,587.01295,557.5543999999998,524.3311833333331,493.7661500000001,452.8721666666665,454.4197333333333,368.60224999999997,407.9865166666668,392.8826500000001,368.40969999999976,381.5430606060606,388.7087419354838,,,,,,,,,,,,,,,,,,,
2018,1,6,120,-4.9115846766666635,3.8726114999999997,0.4375797266666667,,,,,,,,,,,327.6807368421054,333.24830357142855,371.84956666666653,370.58100000000013,419.6058000000001,455.42261666666656,528.9368000000001,548.1003166666667,590.2584333333333,592.4720833333334,566.7063166666668,536.0849,507.00961666666683,467.26505000000003,466.4253500000003,377.9326500000001,409.10706666666675,390.8915166666666,365.3525666666668,380.6867068965517,387.9490000000001,361.9434,,,,,,,,,,,,,,,,,,
2018,1,7,120,-3.254366031666666,5.879710666666666,-0.5584777349999999,,,,,,,,,,,312.9252173913043,316.3972545454545,352.4504999999998,341.8044166666666,384.5294,414.88,500.2598333333334,518.4493333333336,570.0606000000001,572.1998833333333,552.7060500000001,531.5508666666666,505.04416666666657,462.3152833333332,465.6378,380.2758833333334,405.3167666666666,384.20833333333326,359.21234999999984,378.63845000000003,388.042530612245,362.84726666666654,,,,,,,,,,,,,,,,,,
2018,1,8,120,-4.577431686666667,5.288807666666667,-0.2500791833333335,,,,,,,,,,182.55450000000002,310.3682894736841,315.3273191489361,354.7067959183674,354.4175918367347,408.9744489795919,451.355081632653,531.2666530612244,546.2114489795919,574.0621020408164,562.2354693877553,531.8845918367346,510.77328571428586,484.08944897959174,438.09638775510217,438.7383673469388,345.8600612244898,397.5847551020408,387.95983673469385,368.1423333333333,383.94156000000004,391.870375,366.818,,,,,,,,,,,,,,,,,,
2018,1,9,120,-5.866303999999998,3.2916515000000013,-0.0068658079666666675,,,,,,,,,252.76454999999996,179.07855813953498,308.5710545454546,320.56881818181813,370.3331636363638,386.50460000000015,451.72769090909094,493.8555818181818,539.3738545454542,509.69049090909107,527.8362181818183,523.0657636363632,501.04490909090924,492.0673818181819,468.71547272727264,403.9778727272727,405.30012727272737,328.1220909090909,399.60381818181816,395.4855636363636,374.96533333333326,,,,,,,,,,,,,,,,,,,,,
