year,month,day,hour,minute,bx,by,bz,row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20,row21,row22,row23,row24,row25,row26,row27,row28,row29,row30,row31,row32,row33,row34,row35,row36,row37,row38,row39,row40,row41,row42,row43,row44,row45,row46,row47,row48,row49,row50
2017,1,1,0,60,-4.466336549999999,-1.6276000516666669,-3.628892,,,,,,,,,,,,,,,,,,293.02085714285715,371.8205357142857,373.4265762711865,363.67423333333335,424.94244999999995,491.6911,574.7232499999999,664.9709166666667,733.4092666666667,689.5462166666667,634.7362333333333,560.9496833333334,499.3478833333333,463.21686666666665,426.1823,425.99315,370.3437333333333,433.94911666666667,430.52343333333334,462.23783333333336,432.71583333333336,442.8029230769231,417.632,,,,,,,,,,
2017,1,1,1,60,-3.4246711266666665,0.5204349699999999,-2.9998164333333337,,,,,,,,,,,,,,,,,,294.10360000000003,371.7631296296296,371.76813559322034,359.2909833333333,414.9308833333333,475.51803333333334,556.5711166666666,653.6075999999999,728.3595,699.3426833333334,661.9060499999999,598.2205,524.6137666666667,474.6472,426.7026833333333,429.82686666666666,374.15098333333333,434.4723333333333,432.4973,462.4672,432.56625,441.14639999999997,,,,,,,,,,,
2017,1,1,2,60,-5.262612833333334,1.5616121,-1.6127500883333332,,,,,,,,,,,,,,,,,352.346625,294.95635000000004,379.61993333333334,392.12648333333334,399.467,476.02231666666665,557.2904500000001,638.4927833333334,645.4724666666666,595.8878333333333,555.2068166666667,520.0654333333333,479.71306666666663,461.9948333333333,440.1766333333333,394.5808333333333,432.5015833333334,382.34575,448.575,442.9918,466.59914285714285,,,,,,,,,,,,,
2017,1,1,3,60,-2.1627411616666667,-3.2330604500000004,-1.8492904816666667,,,,,,,,,,,,,,,,294.478,354.82890909090906,297.42825,379.08863333333335,386.60033333333337,388.35813333333334,461.61488333333335,539.3208166666667,614.8621,650.3139833333333,662.2052666666666,621.34295,560.28965,489.351,454.12478333333337,433.2146333333333,404.7044833333333,427.06235,377.3224,445.97985,442.2706585365854,468.970825,434.7815,435.5203333333334,,,,,,,,,,,
2017,1,1,4,60,-0.40218615166666666,0.25398677000000003,-4.583191266666666,,,,,,,,,,,,,,,,293.639125,357.5094210526316,301.7050869565217,379.48933928571427,384.79155,383.13513333333333,447.1385166666667,504.8306666666667,555.372,608.97285,625.7571166666668,607.2741666666666,561.3538166666666,493.49533333333335,453.04111666666665,432.7241333333333,407.3915333333333,428.8253833333334,376.9845833333333,445.32052542372884,442.60659615384617,468.20287234042553,431.6412,435.579,,,,,,,,,,,
2017,1,1,5,60,-3.6853882316666664,2.3521827933333332,-0.95284419,,,,,,,,,,,,,,,,294.10968,356.28298305084746,301.5567833333333,389.35731666666663,406.6353833333333,424.5876833333333,505.36115,565.9912166666667,589.6566666666666,582.4912333333334,532.2207666666667,516.5962166666667,483.35361666666665,442.7353,437.2886,420.1701,387.31458333333336,434.84676666666667,387.38121666666666,451.7011764705882,444.30953846153847,463.12399999999997,,,,,,,,,,,,,
2017,1,1,6,60,-0.18283055018333333,0.7625634166666667,-1.5670374816666666,,,,,,,,,,,,,,,,,361.387375,300.8088,380.98421666666667,387.2222333333333,386.8637166666667,452.972,516.1813666666667,578.7015333333333,629.2875499999999,624.4259833333333,571.5932833333334,507.38356666666664,443.27646666666664,429.1811333333333,427.46588333333335,399.9748666666666,423.91946666666666,376.7078833333333,445.0878,440.3871607142857,462.5564390243902,420.2955,,,,,,,,,,,,
2017,1,1,7,60,-1.4983096433333334,3.3021346416666666,-1.6613147916666666,,,,,,,,,,,,,,,,302.438,360.1838125,300.8547272727273,381.84,389.2540303030303,392.46087878787876,467.8934545454546,542.8780303030303,608.7495757575758,640.4418787878787,616.5552424242425,556.8154848484849,495.6946060606061,439.15621212121215,429.23915625,427.693875,390.46978125,424.1511818181818,378.04842424242423,446.33803030303034,440.6732258064516,459.0716428571428,,,,,,,,,,,,,
2017,1,1,8,60,-1.783565,-1.3134198366666667,-0.25385686496666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,60,-2.80180075,-1.3263421499999999,0.6045891606666667,,,,,,,,,,,,,,,317.04650000000004,302.6804,363.7216363636363,311.7869090909091,401.80621818181817,426.47363636363633,460.7293818181819,550.1177454545455,605.4890181818182,621.757909090909,612.7403818181817,567.3074363636364,525.8354363636364,478.6776,433.5390545454546,432.0096909090909,413.9368181818182,389.8434909090909,441.2981272727273,397.00190909090907,457.29502439024395,446.6358333333333,470.553,,,,,,,,,,,,,
2017,1,1,10,60,1.1400348666666666,-3.3082554666666666,-1.6125309021666667,,,,,,,,,,,,,,,,304.52244444444443,366.6383833333333,314.1566166666667,401.37808333333334,422.31576666666666,450.09233333333333,537.8148666666667,610.7916666666666,660.8662,650.1641,586.7325333333333,516.144,462.2556,420.80716666666666,428.38638333333336,419.34225,388.4823666666667,440.40773333333334,397.95835,457.8608596491228,442.8256428571429,463.862,,,,,,,,,,,,,
2017,1,1,11,60,0.8441086066666666,2.976132563333333,-0.5614102166666667,,,,,,,,,,,,,,,,,366.7297,312.8341833333333,399.78515,420.49115,448.3236666666666,537.77255,614.8898333333333,670.3417499999999,655.9038999999999,586.1592166666667,513.2155333333334,459.5699666666667,419.3116166666667,428.03700000000003,420.3301166666667,386.5586,439.7613,397.5542666666667,458.47291666666666,447.9585,,,,,,,,,,,,,,
